TransactionID,Date,StoreID,ProductID,Category,UnitPrice,UnitsSold,Revenue,DiscountApplied,HolidayFlag
1,2022-03-20,43,3012,Groceries,145.62,40,5824.8,10,1
2,2022-07-12,50,5010,Sports,124.19,13,1614.47,10,0
3,2020-03-05,10,1019,Electronics,210.82,39,8221.98,10,0
4,2020-11-02,2,2019,Clothing,96.05,10,960.5,20,1
5,2019-12-20,15,5010,Sports,274.84,11,3023.24,20,1
6,2018-06-15,50,4005,Home & Kitchen,262.98,32,8415.36,20,0
7,2021-12-30,35,3008,Groceries,152.67,24,3664.08,5,1
8,2019-06-26,23,5010,Sports,133.36,40,5334.4,15,0
9,2021-09-25,20,1008,Electronics,134.95,35,4723.25,5,0
10,2019-08-13,23,5012,Sports,34.88,20,697.6,10,0
11,2022-12-22,38,4014,Home & Kitchen,161.71,36,5821.56,5,0
12,2019-07-23,1,4016,Home & Kitchen,58.56,5,292.8,5,0
13,2021-12-19,33,3016,Groceries,133.64,12,1603.68,20,0
14,2020-11-03,45,3045,Groceries,209.4,18,3769.2,20,1
15,2018-11-01,31,5006,Sports,107.61,9,968.49,15,1
16,2021-05-26,49,1001,Electronics,212.07,20,4241.4,5,0
17,2020-05-04,28,5001,Sports,121.14,37,4482.18,10,1
18,2022-01-05,1,5004,Sports,16.86,15,252.9,15,1
19,2022-08-05,19,1001,Electronics,115.17,9,1036.53,15,1
20,2019-06-11,17,3042,Groceries,211.05,3,633.15,15,1
21,2018-10-12,28,4013,Home & Kitchen,207.46,34,7053.64,0,1
22,2020-03-08,25,3036,Groceries,269.13,12,3229.56,20,1
23,2021-07-01,7,5007,Sports,141.91,2,283.82,0,0
24,2021-08-14,12,3043,Groceries,208.48,9,1876.32,15,0
25,2021-12-13,48,5007,Sports,163.9,38,6228.2,5,1
26,2018-04-30,9,2002,Clothing,266.99,12,3203.88,20,1
27,2020-03-27,37,4013,Home & Kitchen,56.75,35,1986.25,0,0
28,2019-08-02,26,2018,Clothing,158.94,32,5086.08,15,1
29,2021-01-11,44,3007,Groceries,130.4,27,3520.8,20,0
30,2022-12-22,9,1006,Electronics,122.05,1,122.05,0,1
31,2018-06-13,34,5010,Sports,36.93,11,406.23,0,1
32,2021-08-22,44,4018,Home & Kitchen,202.27,1,202.27,5,0
33,2021-08-23,29,4006,Home & Kitchen,103.04,30,3091.2,10,1
34,2022-10-19,12,5007,Sports,57.53,27,1553.31,0,0
35,2022-06-21,26,1018,Electronics,258.49,17,4394.33,10,0
36,2018-03-11,19,1013,Electronics,47.04,23,1081.92,10,1
37,2018-09-09,33,1007,Electronics,274.81,10,2748.1,20,0
38,2022-04-18,18,4014,Home & Kitchen,132.26,24,3174.24,0,0
39,2020-10-12,23,4013,Home & Kitchen,96.36,30,2890.8,15,0
40,2019-02-23,43,5007,Sports,204.86,5,1024.3,5,0
41,2020-04-05,38,5004,Sports,229.92,35,8047.2,0,1
42,2019-10-23,16,1006,Electronics,136.55,11,1502.05,10,1
43,2022-06-07,30,1015,Electronics,246.01,22,5412.22,10,0
44,2018-04-07,36,3037,Groceries,5.11,33,168.63,20,1
45,2019-05-25,45,5007,Sports,260.6,7,1824.2,20,1
46,2019-06-26,30,2009,Clothing,8.23,39,320.97,20,0
47,2019-06-24,41,5007,Sports,268.78,9,2419.02,15,1
48,2019-12-02,1,3034,Groceries,109.56,18,1972.08,5,0
49,2021-05-07,37,1018,Electronics,208.61,31,6466.91,5,1
50,2021-08-21,8,3048,Groceries,69.57,40,2782.8,5,0
51,2022-04-08,20,5010,Sports,86.6,1,86.6,0,0
52,2022-06-27,43,3028,Groceries,198.24,8,1585.92,5,0
53,2018-08-24,33,3023,Groceries,114.08,28,3194.24,20,1
54,2022-07-09,36,4018,Home & Kitchen,132.67,10,1326.7,5,1
55,2019-12-06,30,4020,Home & Kitchen,38.96,8,311.68,15,1
56,2020-07-16,20,1017,Electronics,130.87,34,4449.58,20,0
57,2019-07-24,17,4020,Home & Kitchen,296.34,2,592.68,20,0
58,2022-01-20,33,5012,Sports,193.61,32,6195.52,0,1
59,2019-11-22,36,1006,Electronics,193.6,34,6582.4,5,0
60,2018-09-30,20,3038,Groceries,59.97,5,299.85,5,1
61,2022-11-20,17,5014,Sports,48.05,23,1105.15,5,1
62,2019-08-26,42,3008,Groceries,34.05,5,170.25,5,0
63,2020-02-01,30,3019,Groceries,138.98,28,3891.44,0,0
64,2018-06-06,48,3024,Groceries,43.26,10,432.6,20,0
65,2019-03-09,20,5011,Sports,39.08,10,390.8,15,1
66,2019-12-03,39,4002,Home & Kitchen,65.96,23,1517.08,10,1
67,2019-03-02,50,3015,Groceries,88.18,11,969.98,0,1
68,2022-07-04,36,1007,Electronics,43.71,6,262.26,5,0
69,2021-08-05,2,2011,Clothing,118.74,3,356.22,0,0
70,2019-05-30,16,1003,Electronics,29.85,23,686.55,10,0
71,2019-06-16,4,3034,Groceries,57.33,5,286.65,0,0
72,2022-10-05,6,5002,Sports,217.23,17,3692.91,0,0
73,2018-09-09,13,4018,Home & Kitchen,194.1,39,7569.9,0,0
74,2020-08-17,31,4009,Home & Kitchen,195.55,9,1759.95,0,1
75,2020-01-10,12,3041,Groceries,115.75,1,115.75,20,1
76,2022-09-30,2,1018,Electronics,195.85,6,1175.1,5,1
77,2018-04-14,1,5002,Sports,110.68,4,442.72,15,0
78,2019-02-23,25,3018,Groceries,14.21,33,468.93,20,1
79,2020-07-13,4,5003,Sports,205.52,34,6987.68,10,1
80,2019-06-22,46,5008,Sports,58.34,36,2100.24,15,1
81,2019-03-31,18,5003,Sports,106.87,34,3633.58,20,0
